Time;Tensao
0.1763333;-22.32091332
0.1765000;-22.20699534
0.1766667;-22.00593266
0.1768333;-21.71677422
0.1770000;-21.33894034
0.1771667;-20.87487496
0.1773333;-20.32721943
0.1775000;-19.70517564
0.1776667;-19.03773042
0.1778333;-18.22849958
0.1780000;-17.28582858
0.1781667;-16.22838854
0.1783333;-15.07194629
0.1785000;-13.82689965
0.1786667;-12.50502916
0.1788333;-11.11580006
0.1790000;-9.667463408
0.1791667;-8.167835626
0.1793333;-6.625424545
0.1795000;-5.047614245
0.1796667;-3.444055935
0.1798333;-1.823641767
0.1800000;-0.19362734
0.1801667;1.436475347
0.1803333;3.060675308
0.1805000;4.668831015
0.1806667;6.253662616
0.1808333;7.808627302
0.1810000;9.323633357
0.1811667;10.79186398
0.1813333;12.20653986
0.1815000;13.56283968
0.1816667;14.77054462
0.1818333;15.84487609
0.1820000;16.82928078
0.1821667;17.72599101
0.1823333;18.53839513
0.1825000;19.27053016
0.1826667;19.91601793
0.1828333;20.47707607
0.1830000;20.95122202
0.1831667;21.34305071
0.1833333;21.64713166
0.1835000;21.86660735
0.1836667;22.00244611
0.1838333;22.05662047
0.1840000;22.02946842
0.1841667;21.9220302
0.1843333;21.73722442
0.1845000;21.47635908
0.1846667;21.14161353
0.1848333;20.73461967
0.1850000;20.25896849
0.1851667;19.71537794
0.1853333;19.10746173
0.1855000;18.43677373
0.1856667;17.7067151
0.1858333;16.91973623
0.1860000;16.07872849
0.1861667;15.1865141
0.1863333;14.24657838
0.1865000;13.26093044
0.1866667;12.23305593
0.1868333;11.16669835
0.1870000;10.06489601
0.1871667;8.931336212
0.1873333;7.768928232
0.1875000;6.581384257
0.1876667;5.372286451
0.1878333;4.14531317
0.1880000;2.904202731
0.1881667;1.652711833
0.1883333;0.394693416
0.1885000;-0.866062825
0.1886667;-2.125617692
0.1888333;-3.379880008
0.1890000;-4.625222657
0.1891667;-5.857968526
0.1893333;-7.074379497
0.1895000;-8.270388374
0.1896667;-9.441614176
0.1898333;-10.58460396
0.1900000;-11.6959662
0.1901667;-12.77140944
0.1903333;-13.80795412
0.1905000;-14.80139129
0.1906667;-15.74816678
0.1908333;-16.64542871
0.1910000;-17.48804915
0.1911667;-18.27450208
0.1913333;-19.00072168
0.1915000;-19.66386994
0.1916667;-20.26026865
0.1918333;-20.78787561
0.1920000;-21.24304485
0.1921667;-21.62362389
0.1923333;-21.92690017
0.1925000;-22.150123
0.1926667;-22.29185118
0.1928333;-22.34971438
0.1930000;-22.3224597
0.1931667;-22.20857719
0.1933333;-22.00688411
0.1935000;-21.71716279
0.1936667;-21.33906757
0.1938333;-20.87459636
0.1940000;-20.32601473
0.1941667;-19.70412607
0.1943333;-19.03823819
0.1945000;-18.22900207
0.1946667;-17.28604246
0.1948333;-16.22833943
0.1950000;-15.07162829
0.1951667;-13.82688743
0.1953333;-12.50506359
0.1955000;-11.11543472
0.1956667;-9.666759544
0.1958333;-8.167097172
0.1960000;-6.624580769
0.1961667;-5.047588565
0.1963333;-3.444500397
0.1965000;-1.823622036
0.1966667;-0.193229274
0.1968333;1.438278803
0.1970000;3.062167938
0.1971667;4.670468847
0.1973333;6.254991479
0.1975000;7.808337193
0.1976667;9.32289593
0.1978333;10.79063695
0.1980000;12.20579911
0.1981667;13.56196791
0.1983333;14.77020883
0.1985000;15.84618912
0.1986667;16.82930303
0.1988333;17.72596959
0.1990000;18.53969122
0.1991667;19.2696677
0.1993333;19.91520845
0.1995000;20.47585438
0.1996667;20.95098977
0.1998333;21.34093316
0.2000000;21.64549151
0.2001667;21.86591297
0.2003333;22.00248652
0.2005000;22.05619887
0.2006667;22.02919461
0.2008333;21.92186564
0.2010000;21.7371145
0.2011667;21.47628706
0.2013333;21.1415664
0.2015000;20.6524406
0.2016667;20.08765592
0.2018333;19.46876906
0.2020000;18.80164363
0.2021667;18.08435536
0.2023333;17.31688702
0.2025000;16.49866501
0.2026667;15.63073109
0.2028333;14.71482042
0.2030000;13.75368444
0.2031667;12.74899516
0.2033333;11.70400179
0.2035000;10.62253586
0.2036667;9.507541956
0.2038333;8.362569587
0.2040000;7.190536316
0.2041667;5.99520762
0.2043333;4.780114446
0.2045000;3.549002407
0.2046667;2.305626687
0.2048333;1.053651439
0.2050000;-0.203068977
0.2051667;-1.460694623
0.2053333;-2.715388997
0.2055000;-3.962874347
0.2056667;-5.1998052
0.2058333;-6.422401017
0.2060000;-7.6270417
0.2061667;-8.809711084
0.2063333;-9.965839734
0.2065000;-11.09217789
0.2066667;-12.18531747
0.2068333;-13.2410582
0.2070000;-14.25652083
0.2071667;-15.22748257
0.2073333;-16.15034013
0.2075000;-17.02247814
0.2076667;-17.83854741
0.2078333;-18.59731545
0.2080000;-19.29466689
0.2081667;-19.92786535
0.2083333;-20.4932135
0.2085000;-20.98884788
0.2086667;-21.41105128
0.2088333;-21.75784462
0.2090000;-22.02649935
0.2091667;-22.21430111
0.2093333;-22.31999259
0.2095000;-22.34123266
0.2096667;-22.27690748
0.2098333;-22.12558685
0.2100000;-21.88621764
0.2101667;-21.55874607
0.2103333;-21.14297416
0.2105000;-20.64140046
0.2106667;-20.05672163
0.2108333;-19.4019321
0.2110000;-18.70764889
0.2111667;-17.85980283
0.2113333;-16.87182547
0.2115000;-15.76644872
0.2116667;-14.56246085
0.2118333;-13.27302022
0.2120000;-11.91031408
0.2121667;-10.48391236
0.2123333;-9.002910553
0.2125000;-7.475036162
0.2126667;-5.908481225
0.2128333;-4.311666147
0.2130000;-2.692948611
0.2131667;-1.060593616
0.2133333;-0.191848196
0.2135000;1.43996042
0.2136667;3.063010623
0.2138333;4.670733745
0.2140000;6.254936219
0.2141667;7.807982179
0.2143333;9.322264147
0.2145000;10.78928044
0.2146667;12.20367447
0.2148333;13.56070966
0.2150000;14.77152626
0.2151667;15.84796204
0.2153333;16.83020938
0.2155000;17.72675785
0.2156667;18.54089914
0.2158333;19.27026689
0.2160000;19.9159454
0.2161667;20.47621306
0.2163333;20.95094649
0.2165000;21.33940441
0.2166667;21.64373519
0.2168333;21.86412678
0.2170000;22.00149298
0.2171667;22.05911984
0.2173333;22.03226452
0.2175000;21.92361113
0.2176667;21.73777892
0.2178333;21.47634268
0.2180000;21.14103802
0.2181667;20.7323139
0.2183333;20.2568864
0.2185000;19.71124481
0.2186667;19.10359503
0.2188333;18.32365073
0.2190000;17.4808274
0.2191667;16.58221908
0.2193333;15.62478394
0.2195000;14.66232357
0.2196667;13.82532597
0.2198333;12.79616905
0.2200000;11.71695472
0.2201667;10.63873971
0.2203333;9.5015466
0.2205000;8.326552855
0.2206667;7.177735196
0.2208333;5.91378089
0.2210000;4.715345841
0.2211667;3.646180545
0.2213333;2.331139711
0.2215000;0.717086977
0.2216667;-0.13439097
0.2218333;-1.401319817
0.2220000;-2.441834097
0.2221667;-3.56426523
0.2223333;-4.731044705
0.2225000;-5.904286179
0.2226667;-7.089492728
0.2228333;-8.283135746
0.2230000;-9.459984744
0.2231667;-10.60823492
0.2233333;-11.72909502
0.2235000;-12.89965371
0.2236667;-14.02207675
0.2238333;-15.09235518
0.2240000;-16.09366598
0.2241667;-16.98539697
0.2243333;-17.81630827
0.2245000;-18.61448545
0.2246667;-19.35878875
0.2248333;-19.90121811
0.2250000;-20.44150411
0.2251667;-20.92344105
0.2253333;-21.35070027
0.2255000;-21.66499255
0.2256667;-21.93555181
0.2258333;-22.15344509
0.2260000;-22.29815735
0.2261667;-22.35573037
0.2263333;-22.32367557
0.2265000;-22.20863472
0.2266667;-22.00801842
0.2268333;-21.72011868
0.2270000;-21.33687247
0.2271667;-20.87225521
0.2273333;-20.32437486
0.2275000;-19.61535276
0.2276667;-18.85695115
0.2278333;-17.95875443
0.2280000;-16.93523534
0.2281667;-15.80623415
0.2283333;-14.58784398
0.2285000;-13.28885596
0.2286667;-11.91985766
0.2288333;-10.48988568
0.2290000;-9.006377661
0.2291667;-7.476842403
0.2293333;-5.911777283
0.2295000;-4.318810223
0.2296667;-2.703694994
0.2298333;-1.069919047
0.2300000;0.558216275
0.2301667;2.216501817
0.2303333;3.842215401
0.2305000;5.401128283
0.2306667;6.958632565
0.2308333;8.596121603
0.2310000;10.02485434
0.2311667;11.46980176
0.2313333;12.89705835
0.2315000;14.19179262
0.2316667;15.45768824
0.2318333;16.43726192
0.2320000;17.3118847
0.2321667;18.17383092
0.2323333;18.93872236
0.2325000;19.61682046
0.2326667;20.28059078
0.2328333;20.77465349
0.2330000;21.14631671
0.2331667;21.47257696
0.2333333;21.7375737
0.2335000;21.92370491
0.2336667;21.99283472
0.2338333;22.09208997
0.2340000;22.05256258
0.2341667;21.91408889
0.2343333;21.71741625
0.2345000;21.48120215
0.2346667;21.15961816
0.2348333;20.74830206
0.2350000;20.26736816
0.2351667;19.71923154
0.2353333;19.11164768
0.2355000;18.44072279
0.2356667;17.7112248
0.2358333;16.92368691
0.2360000;16.0803496
0.2361667;15.18537313
